CONTROL,VIV_SEL,HOGAR,ND_TIPO,TD_TIPO,BPCOD,R_SEL,BP1_2C,FAC_DEL
0140142,05,01,1,1,02,01,01,000178
0140049,05,01,1,1,04,01,01,000202
0140141,02,01,1,1,02,03,01,000170
0140060,02,01,1,1,08,05,01,001225
0100012,01,01,2,2,04,01,01,000147
0140137,03,01,1,1,06,01,01,000404
0140063,01,01,1,1,01,01,01,000149
0140135,02,01,1,1,10,01,01,000180
0140403,03,01,1,2,04,04,01,000178
0140049,05,01,1,1,07,01,01,000404
0140395,05,01,1,1,03,01,01,000164
0140403,01,01,1,1,02,02,01,000178
0140136,04,01,1,1,04,01,01,000172
0140137,03,01,1,1,02,01,01,000202
0140136,03,01,1,1,05,03,01,000688
0140136,02,01,1,1,02,01,01,000172
0140026,05,01,2,2,03,01,01,000180
0140023,02,01,2,2,02,03,01,000166
0140091,05,01,1,1,09,01,01,000360
0140145,02,01,1,1,09,01,01,000214
0140048,05,01,1,1,10,01,01,000193
0140136,05,01,1,1,02,08,01,000172
0140197,04,01,1,2,02,02,01,000168
0140197,03,01,1,1,09,03,01,000504
0140048,05,01,1,1,14,01,01,000193
0140283,01,01,1,1,02,02,01,000172
0140302,01,01,1,1,02,02,01,000130
0140259,01,01,1,1,02,06,01,000191
0140384,05,01,1,1,03,01,01,000167
0140300,02,01,1,1,02,01,01,000180
0140053,01,01,1,1,08,04,01,000772
0140040,05,01,1,1,09,01,01,000190
0140196,05,01,1,1,03,01,01,000197
0140026,04,01,1,1,03,02,01,000180
0140387,02,01,1,1,09,02,01,000340
0140167,01,01,1,1,09,04,01,000552
0140403,03,01,2,2,04,04,01,000178
0140299,04,01,1,1,02,01,01,000176
0140173,05,01,1,1,11,02,01,000342
0140396,03,01,1,1,02,01,01,000174
0140197,04,01,2,2,02,02,01,000168
0140299,02,01,2,2,03,03,01,000176
0140135,01,01,1,1,10,01,01,000180
0140278,05,01,1,1,08,01,01,000362
0140199,02,01,1,1,07,01,01,000203
0140283,03,01,1,1,03,01,01,000172
0140040,03,01,1,1,01,01,01,000190
0160037,11,01,1,1,11,03,01,000573
0100008,04,01,1,1,08,01,01,000314
0140049,01,01,1,1,03,01,01,000202
0140040,03,01,2,2,02,01,01,000190
0150030,04,01,1,1,09,01,01,000266
0140040,03,01,1,2,02,01,01,000190
0140132,05,01,3,3,06,04,01,000764
0140134,01,01,1,1,02,01,01,000219
0140403,01,02,1,1,02,01,01,000178
0140299,04,01,1,1,09,01,01,000528
0140282,04,01,1,2,02,01,01,000181
0150028,12,01,1,1,02,03,01,000216
0150030,05,01,1,1,02,01,01,000133
0140093,03,01,1,1,05,01,01,000167
0140026,02,01,1,1,01,01,01,000180
0140175,03,01,1,1,02,02,01,000165
0150030,04,01,1,1,08,01,01,000266
0140387,02,01,1,1,03,02,01,000170
0150028,12,01,1,1,08,03,01,000648
0140143,01,01,1,1,02,04,01,000137
0140059,01,01,1,1,09,01,01,000366
0140020,01,01,2,2,02,02,01,000177
0140283,02,01,1,1,13,03,01,000516
0140196,05,01,1,1,07,01,01,000394
0140279,02,01,1,1,02,01,01,000183
0140257,01,01,1,1,02,02,01,000220
0140196,02,01,1,1,09,01,01,000591
0140009,02,01,1,1,02,03,01,000197
0140027,01,01,1,1,02,01,01,000185
0140060,02,01,1,1,02,05,01,000175
0140141,05,01,1,1,03,02,01,000170
0140383,03,01,1,1,04,02,01,000175
0140132,05,01,2,3,06,04,01,000764
0160033,07,01,3,3,02,02,01,000178
0140299,02,01,1,2,03,03,01,000176
0140055,01,01,1,1,02,03,01,000187
0140038,02,01,1,1,09,02,01,000516
0140197,03,01,1,1,02,03,01,000168
0150030,07,01,1,1,01,01,01,000133
0140167,01,01,3,3,02,04,01,000138
0140046,01,01,1,1,04,01,01,000163
0140031,01,01,1,1,08,01,01,000636
