CONTROL,VIV_SEL,HOGAR,R_SEL,FAC_ELE
0100001,01,01,01,000382
0100001,02,01,02,000382
0100001,03,01,01,000764
0100001,04,01,01,000764
0100001,05,01,03,000573
0100005,01,01,01,000716
0100005,02,01,02,001074
0100005,04,01,02,000358
0100005,05,01,02,000537
0100007,01,01,02,000346
0100007,02,01,02,000346
0100007,04,01,02,000346
0100007,05,01,01,000346
0100008,02,01,01,000314
0100008,03,01,01,000314
0100008,04,01,01,000314
0100008,05,01,01,000314
0100009,01,01,02,000252
0100009,02,01,02,000252
0100009,03,01,03,000378
0100009,04,01,01,000504
0100009,05,01,02,000252
0100011,01,01,01,000386
0100011,04,01,02,000965
0100012,01,01,01,000147
0100012,02,01,01,000294
0100012,03,01,01,000294
0100012,04,01,01,000147
0100012,05,01,01,000294
0100013,01,01,01,000340
0100013,03,01,02,000680
0100013,04,01,02,000340
0100013,05,01,03,000510
0100014,01,01,01,000272
0100014,02,01,02,000408
0100014,03,01,02,000272
0100014,04,01,03,000544
0100015,01,01,01,000620
0100015,02,01,01,000465
0100015,03,01,01,000310
0100015,03,02,02,000310
0100015,04,01,04,000620
0100015,05,01,01,000155
0100016,01,01,02,000342
0100016,02,01,02,000342
0100016,03,01,02,000513
0100016,04,01,01,000342
0100016,05,01,01,000684
0100017,01,01,01,000173
0100017,02,01,01,000173
0100017,03,01,02,000346
0100017,04,01,03,000519
0100017,05,01,02,000346
0100023,01,01,02,000360
0100023,02,01,02,000360
0100023,03,01,02,000360
0100023,04,01,02,000360
0100023,05,01,01,000360
0100024,02,01,01,000732
0100024,03,01,02,000366
0100024,04,01,04,000732
0100024,05,01,02,000366
0140001,01,01,02,000555
0140001,02,01,01,000370
0140001,03,01,02,000370
0140001,05,01,01,000370
0140002,01,01,03,000552
0140002,03,01,01,000552
0140002,04,01,01,000368
0140002,05,01,01,000184
0140003,01,01,01,000318
0140003,02,01,01,000159
0140003,03,01,04,000636
0140003,04,01,02,000318
0140003,05,01,01,000795
0140004,01,01,01,000820
0140004,02,01,01,000410
0140004,03,01,01,000410
0140004,04,01,02,000410
0140004,05,01,01,000820
0140006,01,01,01,000711
0140006,02,01,02,000711
0140006,03,01,02,000474
0140006,04,01,02,000474
0140006,05,01,01,000474
0140009,01,01,01,000394
0140009,02,01,03,000591
0140009,03,01,01,000985
0140009,04,01,03,000591
0140009,05,01,02,000591
0140011,01,01,01,000338
0140011,02,01,01,000338
0140011,03,01,02,000338
0140011,04,01,01,000338
0140011,05,01,03,000507
0140012,01,01,01,000300
0140012,02,01,02,000300
0140012,03,01,02,000300
0140012,04,01,01,000450
0140012,05,01,02,000300
0140014,01,01,01,000354
0140014,02,01,02,000354
0140014,03,01,01,000177
0140014,04,01,02,000531
0140014,05,01,01,000354
0140017,01,01,02,000426
0140017,02,01,02,000426
0140017,03,01,03,000639
0140017,04,01,01,000426
0140019,01,01,01,000274
0140019,02,01,01,000274
0140019,03,01,01,001096
0140019,04,01,02,000274
0140019,05,01,01,000274
0140020,01,01,02,000531
0140020,02,01,01,000354
0140020,03,01,01,000354
0140020,04,01,01,000177
0140020,05,01,02,000531
0140021,01,01,01,000199
0140021,02,01,01,000199
0140021,03,01,01,000199
0140021,04,01,01,000199
0140021,05,01,03,000796
0140022,01,01,02,000370
0140022,02,01,01,000370
0140022,03,01,01,000555
0140022,04,01,02,000370
0140022,05,01,03,000555
0140023,01,01,01,000498
0140023,02,01,03,000498
0140023,03,01,01,000332
0140023,04,01,01,000332
0140023,05,01,01,000332
0140026,01,01,01,000360
0140026,02,01,01,000180
0140026,03,01,01,000180
0140026,03,02,01,000180
0140026,04,01,02,000360
0140026,05,01,01,000720
0140027,01,01,01,000370
0140027,02,01,03,000740
0140027,03,01,01,000370
0140027,04,01,01,000370
0140027,05,01,02,000370
0140028,01,01,01,000302
0140028,02,01,03,000453
